YEAR|1|2|3|4|5|6|7|8|9|10|11|12
2023|127.336|128.046|128.389|128.363|128.084|128.214|128.832|129.545|0|0|0|0
2022|118.002|118.981|120.159|120.809|121.022|122.044|122.948|123.803|124.571|125.276|125.997|126.478
2021|110.21|110.907|111.824|112.19|112.419|113.018|113.682|113.899|114.601|115.561|116.884|117.308
2020|106.447|106.889|106.838|105.755|106.162|106.743|107.444|107.867|108.114|108.774|108.856|109.271
2019|103.108|103.079|103.476|103.531|103.233|103.299|103.687|103.67|103.942|104.503|105.346|105.934
2018|98.7949997|99.17137448|99.49215698|99.15484705|98.99408017|99.37646493|99.9090991|100.492|100.917|101.44|102.303|103.02
2017|93.60388244|94.14478034|94.72248933|94.83893263|94.72549432|94.96363964|95.32273574|95.79376765|96.09351524|96.69826913|97.69517399|98.27288299
2016|89.38638139|89.77778112|89.9100006|89.62527796|89.22561452|89.32402789|89.55691448|89.80933349|90.35774385|90.90615422|91.61683394|92.0390348
2015|87.11010277|87.27537713|87.63071699|87.40384038|86.96736583|87.11310776|87.24081976|87.42487529|87.75241902|88.2039185|88.68546788|89.04681772
2014|84.51905163|84.73315704|84.96529239|84.80677925|84.53557906|84.68207224|84.91495883|85.21996514|85.59633992|86.06962558|86.76377787|87.18898371
2013|80.89278202|81.29094297|81.88743314|81.94152293|81.66882024|81.61923793|81.59219304|81.82432839|82.13233968|82.52298816|83.29226516|83.7700583
2012|78.34304946|78.50231384|78.54738867|78.30097963|78.05381934|78.41366669|78.85389747|79.0905403|79.43911894|79.84103612|80.3834365|80.56824328
2011|75.29599135|75.57846024|75.72345093|75.71744095|75.15926438|75.15550814|75.51610674|75.63555502|75.82111305|76.3327123|77.15833283|77.79238536
2010|72.55204598|72.97167051|73.48972549|73.25556464|72.79397765|72.77118323|72.92919|73.1317495|73.51511019|73.96892635|74.56158125|74.93095445
2009|69.45614941|69.60949368|70.00995018|70.25499019|70.05035847|70.17935416|70.37051645|70.53888432|70.89271587|71.10719063|71.47604578|71.77185517
2008|65.35056368|65.5448343|66.01989072|66.17012666|66.09863507|66.3721681|66.74205936|67.12749227|67.58493481|68.04548569|68.81894178|69.29555236
2007|63.01620793|63.19234663|63.32911314|63.29129513|62.98253436|63.05817039|63.32600481|63.58399619|64.07770259|64.32740509|64.78122126|65.04905568
2006|60.60362589|60.69635773|60.77251181|60.86161727|60.59067451|60.64299806|60.80929371|61.11960865|61.73661213|62.00651878|62.3318573|62.69242357
2005|58.30916037|58.50343099|58.76712098|58.97641519|58.82825146|58.77178347|59.00179988|59.07225536|59.30900649|59.45457994|59.88249335|60.25031239
2004|55.77431735|56.10794476|56.29807094|56.38303195|56.24160294|56.33174451|56.47939018|56.82804118|57.29791705|57.69474717|58.1868994|58.30708815
2003|53.52544068|53.67412245|54.01293041|54.1051442|53.93055967|53.9751124|54.0533387|54.21548991|54.53823816|54.73820739|55.19254161|55.42981079
2002|50.90047201|50.86774985|51.12794844|51.40723497|51.51142923|51.76258618|51.91118135|52.1085603|52.42198356|52.65303609|53.07887728|53.3099298
2001|48.57547625|48.54332816|48.85088778|49.09730863|49.20997046|49.32636377|49.19820196|49.48968755|49.95038115|50.17613537|50.36514891|50.43489879
2000|44.93083012|45.32938031|45.58068078|45.84001827|46.01137907|46.28392024|46.46446621|46.71978519|47.0610716|47.38513583|47.79028786|48.30767118
1999|40.46977028|41.01364281|41.39468378|41.77457661|42.02587708|42.3020062|42.58157977|42.82125526|43.23501839|43.50885123|43.89577645|44.33551639
1998|34.00392411|34.59923784|35.0045334|35.33204206|35.61348136|36.03442041|36.38187811|36.7316321|37.32737639|37.86226893|38.53278623|39.47297432
1997|29.49888603|29.99459809|30.36788907|30.69597181|30.97611945|31.25095691|31.52321104|31.8035022|32.19961259|32.45694082|32.82004201|33.27987451
1996|23.32975376|23.87426203|24.39982588|25.09344962|25.5508423|25.96690173|26.33603069|26.68607171|27.11275149|27.45116754|27.86708345|28.75933645
1995|15.37699094|16.02870735|16.9736172|18.32613326|19.09209019|19.69802427|20.09958836|20.43298127|20.85564253|21.28476212|21.80960838|22.52016727
1994|13.95037498|14.02212406|14.09422476|14.1632513|14.23168224|14.30289457|14.36632677|14.43328665|14.53593664|14.6122453|14.69036086|14.81920437
1993|12.97731976|13.08334531|13.15959369|13.2354804|13.31113749|13.38579712|13.45012344|13.52211219|13.62226067|13.67797303|13.73830236|13.8430549
1992|11.65777847|11.79590044|11.91594772|12.02217132|12.10143789|12.18334519|12.26027241|12.33559223|12.44289652|12.53249354|12.63662034|12.81655348
1991|9.883879895|10.05642472|10.19983964|10.30668755|10.40744167|10.51664758|10.60958427|10.68342298|10.78985037|10.91534274|11.1863741|11.44967987
1990|7.776037302|7.952119854|8.09230992|8.215471549|8.358837676|8.542938589|8.698734834|8.846950442|8.973061369|9.102059888|9.343723103|9.638213954
1989|6.349023793|6.435183543|6.504944899|6.602224445|6.693098769|6.774384637|6.842148218|6.907332776|6.973392795|7.076525015|7.175855437|7.418029579
1988|4.718245936|5.11178304|5.373547426|5.538940737|5.646108688|5.761292137|5.857456543|5.911343343|5.945139022|5.990486483|6.070654347|6.197316386
1987|1.704401293|1.82738639|1.948152699|2.11860646|2.278325059|2.443145733|2.641021527|2.856871549|3.045081395|3.298844634|3.560511423|4.086392459
1986|0.834092231|0.871174477|0.911666717|0.959263111|1.012570099|1.077566644|1.131332893|1.221531243|1.294811669|1.368824029|1.461304324|1.576734626
1985|0.502711447|0.523596222|0.5438854|0.560621062|0.573902241|0.588275593|0.608762824|0.635376852|0.660752314|0.685852223|0.717495125|0.766340131
1984|0.312727718|0.329232318|0.343304281|0.35815555|0.370031686|0.383423376|0.395992706|0.407248839|0.419380438|0.434033654|0.448929413|0.467995815
1983|0.180355086|0.190033959|0.199232046|0.211845861|0.221033903|0.229403889|0.240746133|0.250090607|0.257787495|0.266341179|0.281983237|0.294047381
1982|0.085865536|0.089239654|0.09249895|0.097512044|0.102993008|0.107954431|0.113517202|0.126255879|0.1329955|0.139890117|0.146962697|0.162656416
1981|0.065615114|0.067226824|0.068664872|0.070213437|0.07127547|0.072271488|0.073544494|0.075060049|0.076456481|0.078152868|0.079656937|0.081801099
1980|0.051342222|0.052529117|0.053609811|0.054546983|0.055436799|0.056536148|0.058114848|0.059318964|0.059977717|0.060886183|0.061942482|0.063567108
1979|0.042237422|0.042844504|0.043425752|0.043814687|0.044388764|0.04488103|0.045424962|0.046112416|0.046677878|0.047493063|0.048104451|0.048955512
1978|0.035892481|0.036407713|0.036786597|0.037195628|0.037560162|0.038076829|0.038722662|0.039108727|0.039555068|0.040034419|0.040446314|0.040789323
1977|0.030026892|0.030689945|0.031225267|0.031697443|0.031975866|0.032367671|0.032733646|0.033405309|0.033998042|0.03425781|0.03463239|0.035111741
1976|0.023318846|0.023755142|0.02398764|0.024155557|0.024324909|0.0244225|0.024629168|0.024864536|0.025712732|0.02716083|0.028387911|0.02909976
1975|0.020815889|0.020930701|0.021062738|0.0212407|0.021524868|0.021890838|0.02206593|0.022256813|0.022418985|0.022533801|0.022691673|0.022876811
1974|0.017652744|0.018051724|0.018190941|0.018437789|0.018582746|0.018766448|0.019037697|0.019238624|0.019456772|0.019842832|0.020393944|0.020553251
1973|0.014245621|0.014363307|0.014489604|0.014719232|0.014875669|0.014997655|0.015382285|0.015629139|0.016000848|0.016206081|0.016405573|0.017042791
1972|0.01336155|0.01340317|0.013476366|0.013561042|0.013588308|0.013688769|0.01374044|0.013830856|0.013894001|0.013904047|0.013994463|0.014041828
1971|0.012798958|0.012852058|0.012900854|0.012966875|0.012994145|0.013052986|0.013042941|0.013162057|0.013205113|0.013218033|0.013239558|0.013302709
1970|0.012197615|0.01219618|0.01223206|0.012247846|0.012273681|0.012348312|0.012408588|0.012465993|0.012496134|0.012500439|0.012567895|0.012674096
1969|0.011594842|0.011636458|0.011647943|0.011679513|0.011679513|0.011721134|0.011765624|0.011778545|0.011889051|0.012013913|0.012015348|0.012105764
